algorithm,epsilon,delta,gap,mu_0,mu_1,horizon,n_runs,p_optimal,p_lock_in,p_ambiguous
epsilon_greedy,0.1,0.0,0.02,0.6,0.58,5000,100,0.74,0.19,0.07
epsilon_greedy,0.1,0.01,0.02,0.6,0.58,5000,100,0.77,0.17,0.06
epsilon_greedy,0.1,0.02,0.02,0.6,0.58,5000,100,0.68,0.25,0.07
epsilon_greedy,0.1,0.04,0.02,0.6,0.58,5000,100,0.46,0.37,0.17
epsilon_greedy,0.1,0.06,0.02,0.6,0.58,5000,100,0.02,0.65,0.33
epsilon_greedy,0.1,0.08,0.02,0.6,0.58,5000,100,0.0,0.65,0.35
epsilon_greedy,0.1,0.1,0.02,0.6,0.58,5000,100,0.0,0.64,0.36
epsilon_greedy,0.1,0.12,0.02,0.6,0.58,5000,100,0.0,0.65,0.35
epsilon_greedy,0.1,0.14,0.02,0.6,0.58,5000,100,0.0,0.65,0.35
epsilon_greedy,0.1,0.16,0.02,0.6,0.58,5000,100,0.0,0.69,0.31
epsilon_greedy,0.1,0.18,0.02,0.6,0.58,5000,100,0.0,0.71,0.29
epsilon_greedy,0.1,0.2,0.02,0.6,0.58,5000,100,0.0,0.73,0.27
epsilon_greedy,0.1,0.0,0.04,0.6,0.5599999999999999,5000,100,0.94,0.05,0.01
epsilon_greedy,0.1,0.01,0.04,0.6,0.5599999999999999,5000,100,0.96,0.03,0.01
epsilon_greedy,0.1,0.02,0.04,0.6,0.5599999999999999,5000,100,0.92,0.08,0.0
epsilon_greedy,0.1,0.04,0.04,0.6,0.5599999999999999,5000,100,0.56,0.22,0.22
epsilon_greedy,0.1,0.06,0.04,0.6,0.5599999999999999,5000,100,0.06,0.51,0.43
epsilon_greedy,0.1,0.08,0.04,0.6,0.5599999999999999,5000,100,0.0,0.55,0.45
epsilon_greedy,0.1,0.1,0.04,0.6,0.5599999999999999,5000,100,0.0,0.55,0.45
epsilon_greedy,0.1,0.12,0.04,0.6,0.5599999999999999,5000,100,0.0,0.55,0.45
epsilon_greedy,0.1,0.14,0.04,0.6,0.5599999999999999,5000,100,0.0,0.59,0.41
epsilon_greedy,0.1,0.16,0.04,0.6,0.5599999999999999,5000,100,0.0,0.6,0.4
epsilon_greedy,0.1,0.18,0.04,0.6,0.5599999999999999,5000,100,0.0,0.64,0.36
epsilon_greedy,0.1,0.2,0.04,0.6,0.5599999999999999,5000,100,0.0,0.65,0.35
epsilon_greedy,0.1,0.0,0.06,0.6,0.54,5000,100,0.99,0.01,0.0
epsilon_greedy,0.1,0.01,0.06,0.6,0.54,5000,100,0.99,0.01,0.0
epsilon_greedy,0.1,0.02,0.06,0.6,0.54,5000,100,0.98,0.02,0.0
epsilon_greedy,0.1,0.04,0.06,0.6,0.54,5000,100,0.65,0.14,0.21
epsilon_greedy,0.1,0.06,0.06,0.6,0.54,5000,100,0.06,0.44,0.5
epsilon_greedy,0.1,0.08,0.06,0.6,0.54,5000,100,0.0,0.46,0.54
epsilon_greedy,0.1,0.1,0.06,0.6,0.54,5000,100,0.0,0.43,0.57
epsilon_greedy,0.1,0.12,0.06,0.6,0.54,5000,100,0.0,0.45,0.55
epsilon_greedy,0.1,0.14,0.06,0.6,0.54,5000,100,0.0,0.48,0.52
epsilon_greedy,0.1,0.16,0.06,0.6,0.54,5000,100,0.0,0.51,0.49
epsilon_greedy,0.1,0.18,0.06,0.6,0.54,5000,100,0.0,0.56,0.44
epsilon_greedy,0.1,0.2,0.06,0.6,0.54,5000,100,0.0,0.59,0.41
epsilon_greedy,0.1,0.0,0.08,0.6,0.52,5000,100,1.0,0.0,0.0
epsilon_greedy,0.1,0.01,0.08,0.6,0.52,5000,100,0.99,0.01,0.0
epsilon_greedy,0.1,0.02,0.08,0.6,0.52,5000,100,0.99,0.01,0.0
epsilon_greedy,0.1,0.04,0.08,0.6,0.52,5000,100,0.68,0.09,0.23
epsilon_greedy,0.1,0.06,0.08,0.6,0.52,5000,100,0.07,0.41,0.52
epsilon_greedy,0.1,0.08,0.08,0.6,0.52,5000,100,0.0,0.41,0.59
epsilon_greedy,0.1,0.1,0.08,0.6,0.52,5000,100,0.0,0.4,0.6
epsilon_greedy,0.1,0.12,0.08,0.6,0.52,5000,100,0.0,0.42,0.58
epsilon_greedy,0.1,0.14,0.08,0.6,0.52,5000,100,0.0,0.44,0.56
epsilon_greedy,0.1,0.16,0.08,0.6,0.52,5000,100,0.0,0.46,0.54
epsilon_greedy,0.1,0.18,0.08,0.6,0.52,5000,100,0.0,0.49,0.51
epsilon_greedy,0.1,0.2,0.08,0.6,0.52,5000,100,0.0,0.52,0.48
epsilon_greedy,0.1,0.0,0.1,0.6,0.5,5000,100,1.0,0.0,0.0
epsilon_greedy,0.1,0.01,0.1,0.6,0.5,5000,100,1.0,0.0,0.0
epsilon_greedy,0.1,0.02,0.1,0.6,0.5,5000,100,0.99,0.01,0.0
epsilon_greedy,0.1,0.04,0.1,0.6,0.5,5000,100,0.73,0.03,0.24
epsilon_greedy,0.1,0.06,0.1,0.6,0.5,5000,100,0.06,0.37,0.57
epsilon_greedy,0.1,0.08,0.1,0.6,0.5,5000,100,0.0,0.36,0.64
epsilon_greedy,0.1,0.1,0.1,0.6,0.5,5000,100,0.0,0.35,0.65
epsilon_greedy,0.1,0.12,0.1,0.6,0.5,5000,100,0.0,0.34,0.66
epsilon_greedy,0.1,0.14,0.1,0.6,0.5,5000,100,0.0,0.38,0.62
epsilon_greedy,0.1,0.16,0.1,0.6,0.5,5000,100,0.0,0.4,0.6
epsilon_greedy,0.1,0.18,0.1,0.6,0.5,5000,100,0.0,0.4,0.6
epsilon_greedy,0.1,0.2,0.1,0.6,0.5,5000,100,0.0,0.43,0.57
epsilon_greedy,0.1,0.0,0.12,0.6,0.48,5000,100,1.0,0.0,0.0
epsilon_greedy,0.1,0.01,0.12,0.6,0.48,5000,100,1.0,0.0,0.0
epsilon_greedy,0.1,0.02,0.12,0.6,0.48,5000,100,1.0,0.0,0.0
epsilon_greedy,0.1,0.04,0.12,0.6,0.48,5000,100,0.75,0.02,0.23
epsilon_greedy,0.1,0.06,0.12,0.6,0.48,5000,100,0.07,0.36,0.57
epsilon_greedy,0.1,0.08,0.12,0.6,0.48,5000,100,0.0,0.34,0.66
epsilon_greedy,0.1,0.1,0.12,0.6,0.48,5000,100,0.0,0.33,0.67
epsilon_greedy,0.1,0.12,0.12,0.6,0.48,5000,100,0.0,0.33,0.67
epsilon_greedy,0.1,0.14,0.12,0.6,0.48,5000,100,0.0,0.38,0.62
epsilon_greedy,0.1,0.16,0.12,0.6,0.48,5000,100,0.0,0.4,0.6
epsilon_greedy,0.1,0.18,0.12,0.6,0.48,5000,100,0.0,0.4,0.6
epsilon_greedy,0.1,0.2,0.12,0.6,0.48,5000,100,0.0,0.41,0.59
epsilon_greedy,0.1,0.0,0.14,0.6,0.45999999999999996,5000,100,1.0,0.0,0.0
epsilon_greedy,0.1,0.01,0.14,0.6,0.45999999999999996,5000,100,1.0,0.0,0.0
epsilon_greedy,0.1,0.02,0.14,0.6,0.45999999999999996,5000,100,1.0,0.0,0.0
epsilon_greedy,0.1,0.04,0.14,0.6,0.45999999999999996,5000,100,0.76,0.0,0.24
epsilon_greedy,0.1,0.06,0.14,0.6,0.45999999999999996,5000,100,0.07,0.34,0.59
epsilon_greedy,0.1,0.08,0.14,0.6,0.45999999999999996,5000,100,0.0,0.32,0.68
epsilon_greedy,0.1,0.1,0.14,0.6,0.45999999999999996,5000,100,0.0,0.32,0.68
epsilon_greedy,0.1,0.12,0.14,0.6,0.45999999999999996,5000,100,0.0,0.32,0.68
epsilon_greedy,0.1,0.14,0.14,0.6,0.45999999999999996,5000,100,0.0,0.36,0.64
epsilon_greedy,0.1,0.16,0.14,0.6,0.45999999999999996,5000,100,0.0,0.37,0.63
epsilon_greedy,0.1,0.18,0.14,0.6,0.45999999999999996,5000,100,0.0,0.4,0.6
epsilon_greedy,0.1,0.2,0.14,0.6,0.45999999999999996,5000,100,0.0,0.44,0.56
epsilon_greedy,0.1,0.0,0.16,0.6,0.43999999999999995,5000,100,1.0,0.0,0.0
epsilon_greedy,0.1,0.01,0.16,0.6,0.43999999999999995,5000,100,1.0,0.0,0.0
epsilon_greedy,0.1,0.02,0.16,0.6,0.43999999999999995,5000,100,1.0,0.0,0.0
epsilon_greedy,0.1,0.04,0.16,0.6,0.43999999999999995,5000,100,0.76,0.0,0.24
epsilon_greedy,0.1,0.06,0.16,0.6,0.43999999999999995,5000,100,0.07,0.32,0.61
epsilon_greedy,0.1,0.08,0.16,0.6,0.43999999999999995,5000,100,0.0,0.3,0.7
epsilon_greedy,0.1,0.1,0.16,0.6,0.43999999999999995,5000,100,0.0,0.3,0.7
epsilon_greedy,0.1,0.12,0.16,0.6,0.43999999999999995,5000,100,0.0,0.3,0.7
epsilon_greedy,0.1,0.14,0.16,0.6,0.43999999999999995,5000,100,0.0,0.35,0.65
epsilon_greedy,0.1,0.16,0.16,0.6,0.43999999999999995,5000,100,0.0,0.35,0.65
epsilon_greedy,0.1,0.18,0.16,0.6,0.43999999999999995,5000,100,0.0,0.36,0.64
epsilon_greedy,0.1,0.2,0.16,0.6,0.43999999999999995,5000,100,0.0,0.42,0.58
epsilon_greedy,0.1,0.0,0.18,0.6,0.42,5000,100,1.0,0.0,0.0
epsilon_greedy,0.1,0.01,0.18,0.6,0.42,5000,100,1.0,0.0,0.0
epsilon_greedy,0.1,0.02,0.18,0.6,0.42,5000,100,1.0,0.0,0.0
epsilon_greedy,0.1,0.04,0.18,0.6,0.42,5000,100,0.76,0.0,0.24
epsilon_greedy,0.1,0.06,0.18,0.6,0.42,5000,100,0.09,0.28,0.63
epsilon_greedy,0.1,0.08,0.18,0.6,0.42,5000,100,0.0,0.26,0.74
epsilon_greedy,0.1,0.1,0.18,0.6,0.42,5000,100,0.0,0.25,0.75
epsilon_greedy,0.1,0.12,0.18,0.6,0.42,5000,100,0.0,0.25,0.75
epsilon_greedy,0.1,0.14,0.18,0.6,0.42,5000,100,0.0,0.3,0.7
epsilon_greedy,0.1,0.16,0.18,0.6,0.42,5000,100,0.0,0.3,0.7
epsilon_greedy,0.1,0.18,0.18,0.6,0.42,5000,100,0.0,0.31,0.69
epsilon_greedy,0.1,0.2,0.18,0.6,0.42,5000,100,0.0,0.34,0.66
epsilon_greedy,0.1,0.0,0.2,0.6,0.39999999999999997,5000,100,1.0,0.0,0.0
epsilon_greedy,0.1,0.01,0.2,0.6,0.39999999999999997,5000,100,1.0,0.0,0.0
epsilon_greedy,0.1,0.02,0.2,0.6,0.39999999999999997,5000,100,1.0,0.0,0.0
epsilon_greedy,0.1,0.04,0.2,0.6,0.39999999999999997,5000,100,0.76,0.0,0.24
epsilon_greedy,0.1,0.06,0.2,0.6,0.39999999999999997,5000,100,0.09,0.27,0.64
epsilon_greedy,0.1,0.08,0.2,0.6,0.39999999999999997,5000,100,0.0,0.25,0.75
epsilon_greedy,0.1,0.1,0.2,0.6,0.39999999999999997,5000,100,0.0,0.25,0.75
epsilon_greedy,0.1,0.12,0.2,0.6,0.39999999999999997,5000,100,0.0,0.25,0.75
epsilon_greedy,0.1,0.14,0.2,0.6,0.39999999999999997,5000,100,0.0,0.28,0.72
epsilon_greedy,0.1,0.16,0.2,0.6,0.39999999999999997,5000,100,0.0,0.28,0.72
epsilon_greedy,0.1,0.18,0.2,0.6,0.39999999999999997,5000,100,0.0,0.3,0.7
epsilon_greedy,0.1,0.2,0.2,0.6,0.39999999999999997,5000,100,0.0,0.33,0.67
